label_set,labels_path,engine,mode,status,files,labels,files_with_box,files_with_text,box_detect_rate,text_detect_rate,value_match_rate,name_match_rate,full_match_rate,predictions,elapsed_s,error
labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/labels.md,easyocr,raw_no_parser,ok,31,78,31,31,1.0,1.0,0.9487179487179487,0.0,0.0,,119.43039106299966,
labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/labels.md,easyocr,regex_parser,ok,31,78,,30,,0.967741935483871,0.8717948717948718,0.782051282051282,0.6666666666666666,78,106.03413148700338,
labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/labels.md,easyocr,local_llm_parser,ok,31,78,,31,,1.0,0.9743589743589743,0.8846153846153846,0.8076923076923077,79,236.50481443899935,
validation_labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/validation_labels.md,easyocr,raw_no_parser,ok,77,213,77,77,1.0,1.0,0.9530516431924883,0.0,0.0,,278.8099667509996,
validation_labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/validation_labels.md,easyocr,regex_parser,ok,77,213,,72,,0.935064935064935,0.8544600938967136,0.7652582159624414,0.6431924882629108,200,268.1288801949968,
validation_labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/validation_labels.md,easyocr,local_llm_parser,ok,77,213,,75,,0.974025974025974,0.9342723004694836,0.8732394366197183,0.812206572769953,252,458.90315920800185,
