config_name,engine,description,exact_match_rate,line_match_rate,value_match_rate,label_match_rate,prefix_match_rate,detection_rate,delta_exact_vs_baseline,elapsed_s,processed_files,ok_files,error_files
gray_x3_lanczos,easyocr,Grayscale only with x3 Lanczos upscale.,0.7857142857142857,0.7857142857142857,0.7857142857142857,1.0,1.0,1.0,0.0,16.674,3,3,0
default_multiview,easyocr,Current step-6 plus step-7 multiview retries (adaptive + clahe).,0.7857142857142857,0.7857142857142857,0.7857142857142857,1.0,1.0,1.0,0.0,30.34,3,3,0
