label_set,labels_path,engine,mode,status,files,labels,files_with_box,files_with_text,box_detect_rate,text_detect_rate,value_match_rate,name_match_rate,full_match_rate,predictions,elapsed_s,error
labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/labels.md,tesseract,raw_no_parser,ok,31,78,31,31,1.0,1.0,0.9230769230769231,0.01282051282051282,0.0,,9.759420783999758,
labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/labels.md,tesseract,regex_parser,ok,31,78,,29,,0.9354838709677419,0.7307692307692307,0.6666666666666666,0.5897435897435898,134,10.154687765999824,
labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/labels.md,tesseract,local_llm_parser,ok,31,78,,29,,0.9354838709677419,0.9102564102564102,0.6282051282051282,0.5769230769230769,77,119.19998088699867,
validation_labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/validation_labels.md,tesseract,raw_no_parser,ok,77,213,77,77,1.0,1.0,0.8826291079812206,0.004694835680751174,0.0,,25.495782472999963,
validation_labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/validation_labels.md,tesseract,regex_parser,ok,77,213,,75,,0.974025974025974,0.784037558685446,0.6619718309859155,0.5633802816901409,422,25.26934796399928,
validation_labels,/home/warre/Documents/howest/Semester_5/Stage/StageOpdracht/Master/validation_labels.md,tesseract,local_llm_parser,ok,77,213,,74,,0.961038961038961,0.8403755868544601,0.6901408450704225,0.5868544600938967,236,423.2945443730018,
