label_set,labels_path,engine,mode,status,files,labels,files_with_box,files_with_text,box_detect_rate,text_detect_rate,value_match_rate,name_match_rate,full_match_rate,predictions,elapsed_s,error
labels,labels.md,surya,raw_no_parser,ok,31,78,31,31,1.0,1.0,1.0,0.3974358974358974,0.38461538461538464,,18.926430748000712,
labels,labels.md,surya,regex_parser,ok,31,78,,30,,0.967741935483871,0.6923076923076923,0.6410256410256411,0.5769230769230769,57,16.578798493996146,
labels,labels.md,surya,local_llm_parser,ok,31,78,,31,,1.0,0.9615384615384616,0.8717948717948718,0.8461538461538461,77,133.1540717359967,
validation_labels,validation_labels.md,surya,raw_no_parser,ok,78,214,77,77,0.9871794871794872,0.9871794871794872,0.9392523364485982,0.3364485981308411,0.3317757009345794,,44.67572484899938,
validation_labels,validation_labels.md,surya,regex_parser,ok,78,214,,73,,0.9358974358974359,0.6869158878504673,0.6261682242990654,0.5514018691588785,154,42.01927197501209,
validation_labels,validation_labels.md,surya,local_llm_parser,ok,78,214,,72,,0.9230769230769231,0.8691588785046729,0.7990654205607477,0.7757009345794392,191,349.30237741900055,
