label_set,labels_path,engine,mode,status,files,labels,files_with_box,files_with_text,box_detect_rate,text_detect_rate,value_match_rate,name_match_rate,full_match_rate,predictions,elapsed_s,error
labels,labels.md,surya,raw_no_parser,ok,31,78,31,31,1.0,1.0,0.9871794871794872,0.41025641025641024,0.38461538461538464,,17.776158192000366,
labels,labels.md,surya,regex_parser,ok,31,78,,29,,0.9354838709677419,0.9230769230769231,0.8846153846153846,0.8205128205128205,72,15.886449947003712,
labels,labels.md,surya,local_llm_parser,ok,31,78,,31,,1.0,0.9615384615384616,0.8717948717948718,0.8717948717948718,78,140.41614369299896,
validation_labels,validation_labels.md,surya,raw_no_parser,ok,78,214,77,77,0.9871794871794872,0.9871794871794872,0.9392523364485982,0.35046728971962615,0.3411214953271028,,44.068140019000566,
validation_labels,validation_labels.md,surya,regex_parser,ok,78,214,,74,,0.9487179487179487,0.8411214953271028,0.7710280373831776,0.705607476635514,180,41.124055745993246,
validation_labels,validation_labels.md,surya,local_llm_parser,ok,78,214,,75,,0.9615384615384616,0.8551401869158879,0.7850467289719626,0.7710280373831776,186,355.2840316539896,
